dia;id_veiculo;id_corrida;categoria;distancia_corrida;valor_corrida;valor_gorjeta;cupom_desconto
20250522;01;01;"negocio";2000;43.55;2.00;"S"
20250520;03;02;"lazer";1520;30.20;1.50;"N"
20250521;05;03;"negocio";3800;75.60;3.20;"S"
20250522;07;04;"lazer";890;19.75;0.00;"N"
20250523;04;05;"lazer";1320;25.10;1.00;"N"
20250524;10;06;"negocio";2300;48.90;2.50;"S"
20250522;12;07;"lazer";760;15.60;0.00;"N"
20250520;02;08;"negocio";2700;52.35;2.80;"S"
20250521;06;09;"lazer";1050;21.90;0.00;"N"
20250522;08;10;"negocio";3100;63.75;3.10;"S"
20250522;01;11;"lazer";820;16.40;0.00;"N"
20250521;03;12;"negocio";3400;69.10;2.90;"S"
20250524;14;13;"lazer";980;19.80;1.00;"N"
20250523;05;14;"negocio";2500;51.30;2.20;"S"
20250521;07;15;"lazer";1120;23.60;0.50;"N"
20250520;09;16;"negocio";3900;78.45;3.50;"S"
20250522;06;17;"lazer";910;17.80;0.00;"N"
20250523;15;18;"negocio";2800;55.00;2.30;"S"
20250524;02;19;"lazer";1150;22.10;1.00;"N"
20250521;08;20;"negocio";3200;64.70;3.00;"S"
20250522;11;21;"lazer";700;14.20;0.00;"N"
20250522;13;22;"negocio";3600;72.60;2.80;"S"
20250524;04;23;"lazer";1080;21.00;1.00;"N"
20250520;10;24;"negocio";3000;60.25;2.50;"S"
20250521;15;25;"lazer";940;18.70;0.00;"N"
20250522;03;26;"negocio";3300;66.55;3.20;"S"
20250523;06;27;"lazer";1020;20.80;0.50;"N"
20250524;12;28;"negocio";3100;63.90;2.40;"S"
20250521;07;29;"lazer";880;17.25;0.00;"N"
20250523;01;30;"negocio";3500;70.10;3.00;"S"
20250520;09;31;"lazer";990;19.40;1.00;"N"
20250522;02;32;"negocio";2900;58.30;2.60;"S"
20250523;14;33;"lazer";920;18.90;0.00;"N"
20250521;06;34;"negocio";2800;56.10;2.20;"S"
20250520;11;35;"lazer";1100;22.80;1.00;"N"
20250524;13;36;"negocio";2600;52.75;2.00;"S"
20250521;04;37;"lazer";890;17.50;0.00;"N"
20250523;15;38;"negocio";2400;49.90;2.10;"S"
20250520;08;39;"lazer";1060;21.10;0.00;"N"
20250522;10;40;"negocio";3700;74.30;3.20;"S"
20250521;12;41;"lazer";850;16.80;1.00;"N"
20250524;05;42;"negocio";3000;60.00;2.30;"S"
20250520;01;43;"lazer";970;19.00;0.00;"N"
20250522;13;44;"negocio";3400;68.25;3.10;"S"
20250523;03;45;"lazer";1000;20.00;0.50;"N"
20250524;06;46;"negocio";3900;79.60;3.40;"S"
